"DateTime","Players","Average Players"
"2020-09-04 00:00:00",29916,
"2020-09-05 00:00:00",31165,
"2020-09-06 00:00:00",29910,
"2020-09-07 00:00:00",28195,
"2020-09-08 00:00:00",20624,
"2020-09-09 00:00:00",17084,
"2020-09-10 00:00:00",15053,
"2020-09-11 00:00:00",13636,
"2020-09-12 00:00:00",15104,
"2020-09-13 00:00:00",14237,
"2020-09-14 00:00:00",10082,
"2020-09-15 00:00:00",8858,
"2020-09-16 00:00:00",7947,
"2020-09-17 00:00:00",7098,
"2020-09-18 00:00:00",6785,
"2020-09-19 00:00:00",9080,
"2020-09-20 00:00:00",8401,
"2020-09-21 00:00:00",6143,
"2020-09-22 00:00:00",5271,
"2020-09-23 00:00:00",4741,
"2020-09-24 00:00:00",4637,
"2020-09-25 00:00:00",4889,
"2020-09-26 00:00:00",5639,
"2020-09-27 00:00:00",5613,
"2020-09-28 00:00:00",3987,
"2020-09-29 00:00:00",3479,
"2020-09-30 00:00:00",3204,
"2020-10-01 00:00:00",3041,
"2020-10-02 00:00:00",2870,
"2020-10-03 00:00:00",3286,
"2020-10-04 00:00:00",3311,
"2020-10-05 00:00:00",2413,
"2020-10-06 00:00:00",2169,
"2020-10-07 00:00:00",1966,
"2020-10-08 00:00:00",2039,
"2020-10-09 00:00:00",1957,
"2020-10-10 00:00:00",2241,
"2020-10-11 00:00:00",2232,
"2020-10-12 00:00:00",1825,
"2020-10-13 00:00:00",1499,
"2020-10-14 00:00:00",1449,
"2020-10-15 00:00:00",2173,
"2020-10-16 00:00:00",1951,
"2020-10-17 00:00:00",2120,
"2020-10-18 00:00:00",2103,
"2020-10-19 00:00:00",1533,
"2020-10-20 00:00:00",1477,
"2020-10-21 00:00:00",1425,
"2020-10-22 00:00:00",1669,
"2020-10-23 00:00:00",1738,
"2020-10-24 00:00:00",1879,
"2020-10-25 00:00:00",1886,
"2020-10-26 00:00:00",1360,
"2020-10-27 00:00:00",1351,
"2020-10-28 00:00:00",1273,
"2020-10-29 00:00:00",1166,
"2020-10-30 00:00:00",1205,
"2020-10-31 00:00:00",1393,
"2020-11-01 00:00:00",1449,
"2020-11-02 00:00:00",1068,
"2020-11-03 00:00:00",989,
"2020-11-04 00:00:00",948,
"2020-11-05 00:00:00",969,
"2020-11-06 00:00:00",985,
"2020-11-07 00:00:00",1204,
"2020-11-08 00:00:00",1196,
"2020-11-09 00:00:00",896,
"2020-11-10 00:00:00",745,
"2020-11-11 00:00:00",767,
"2020-11-12 00:00:00",694,
"2020-11-13 00:00:00",709,
"2020-11-14 00:00:00",849,
"2020-11-15 00:00:00",832,
"2020-11-16 00:00:00",624,
"2020-11-17 00:00:00",581,
"2020-11-18 00:00:00",624,
"2020-11-19 00:00:00",685,
"2020-11-20 00:00:00",825,
"2020-11-21 00:00:00",1733,
"2020-11-22 00:00:00",1934,
"2020-11-23 00:00:00",1466,
"2020-11-24 00:00:00",1449,
"2020-11-25 00:00:00",1479,
"2020-11-26 00:00:00",1620,
"2020-11-27 00:00:00",1659,
"2020-11-28 00:00:00",1892,
"2020-11-29 00:00:00",1759,
"2020-11-30 00:00:00",1405,
"2020-12-01 00:00:00",1261,
"2020-12-02 00:00:00",1156,
"2020-12-03 00:00:00",1113,
"2020-12-04 00:00:00",1001,
"2020-12-05 00:00:00",1257,
"2020-12-06 00:00:00",1297,
"2020-12-07 00:00:00",894,
"2020-12-08 00:00:00",2613,
"2020-12-09 00:00:00",2009,
"2020-12-10 00:00:00",1283,
"2020-12-11 00:00:00",1268,
"2020-12-12 00:00:00",1563,
"2020-12-13 00:00:00",1488,
"2020-12-14 00:00:00",1137,
